entry_number,soloist_instrument,soloist_name,soloist_roles,season,program_id,id
40596,Baritone,"Hvorostovsky, Dmitri",S,2002-03,13556,72512d0f-1364-4ad4-8e43-48f5e864bb16
40597,Oboe,"Sylar, Sherry",A,2002-03,9120,2157f5e8-5d75-45c9-8e69-590cd920e060
40598,Oboe,"Botti, Robert",A,2002-03,9120,2157f5e8-5d75-45c9-8e69-590cd920e060
40599,Clarinet,"Nuccio, Mark",A,2002-03,9120,2157f5e8-5d75-45c9-8e69-590cd920e060
40600,Clarinet,"Martinez [Martínez] Forteza, Pascual",A,2002-03,9120,2157f5e8-5d75-45c9-8e69-590cd920e060
40601,Bassoon,"LeClair, Judith",A,2002-03,9120,2157f5e8-5d75-45c9-8e69-590cd920e060
40602,Bassoon,"Laskowski, Kim",A,2002-03,9120,2157f5e8-5d75-45c9-8e69-590cd920e060
40603,Contrabassoon,"Fast, Arlen",A,2002-03,9120,2157f5e8-5d75-45c9-8e69-590cd920e060
40604,French Horn,"Ralske, Erik",A,2002-03,9120,2157f5e8-5d75-45c9-8e69-590cd920e060
40605,French Horn,"Spanjer, R. Allen",A,2002-03,9120,2157f5e8-5d75-45c9-8e69-590cd920e060
40606,French Horn,"Wall, Howard",A,2002-03,9120,2157f5e8-5d75-45c9-8e69-590cd920e060
40607,Cello,"Bartlett, Eric",A,2002-03,9120,2157f5e8-5d75-45c9-8e69-590cd920e060
40608,Contrabass,"Deak, Jon",A,2002-03,9120,2157f5e8-5d75-45c9-8e69-590cd920e060
40609,Piano,"Aimard, Pierre-Laurent",S,2002-03,9121,d79e544f-6df1-4193-84a8-bea117369157
40611,Violin,"Simon, Fiona",A,2002-03,9636,11f21721-c653-4ee9-8526-990aa9c76c31
40612,Violin,"Kwon, Soohyun",A,2002-03,9636,11f21721-c653-4ee9-8526-990aa9c76c31
40613,Viola,"Hannay, Dawn",A,2002-03,9636,11f21721-c653-4ee9-8526-990aa9c76c31
40614,Cello,"Tu, Qiang",A,2002-03,9636,11f21721-c653-4ee9-8526-990aa9c76c31
40615,Flute,"Siebert, Renee (Renée)",A,2002-03,9636,11f21721-c653-4ee9-8526-990aa9c76c31
40616,Violin,"Webb, Carol",A,2002-03,9636,11f21721-c653-4ee9-8526-990aa9c76c31
40617,Viola,"Rence, Dorian",A,2002-03,9636,11f21721-c653-4ee9-8526-990aa9c76c31
